Trip Id, Route Id, Service Id, Trip Head Sign, Route Name, Monday
20C-GLOBAUX-04-S_2_0_218361625,2,20C-GLOBAUX-04-S,STATION HENRI-BOURASSA,orange,Yes
20C-GLOBAUX-04-A_2_0_218365435,2,20C-GLOBAUX-04-A,STATION MONTMORENCY,orange,No
20C-GLOBAUX-04-I_2_0_218368978,2,20C-GLOBAUX-04-I,STATION MONTMORENCY,orange,No
20M-GLOBAUX-04-S_2_0_213948810,2,20M-GLOBAUX-04-S,STATION HENRI-BOURASSA,orange,Yes
20M-GLOBAUX-20-S_2_0_216824041,2,20M-GLOBAUX-20-S,STATION MONTMORENCY,orange,Yes
20M-GLOBAUX-00-A_2_0_210127250,2,20M-GLOBAUX-00-A,STATION MONTMORENCY,orange,No
20M-GLOBAUX-20-A_2_0_216828653,2,20M-GLOBAUX-20-A,STATION MONTMORENCY,orange,No
20M-GLOBAUX-00-I_2_0_210130792,2,20M-GLOBAUX-00-I,STATION MONTMORENCY,orange,No
20M-GLOBAUX-20-I_2_0_216832059,2,20M-GLOBAUX-20-I,STATION MONTMORENCY,orange,No
20M-GLOBAUX-20-F1_2_0_216835143,2,20M-GLOBAUX-20-F1,STATION MONTMORENCY,orange,No
20M-GLOBAUX-20-F2_2_0_216838782,2,20M-GLOBAUX-20-F2,STATION MONTMORENCY,orange,Yes
20M-GLOBAUX-00-F3_2_0_210334415,2,20M-GLOBAUX-00-F3,STATION MONTMORENCY,orange,Yes
20C-GLOBAUX-04-S_1_2,1,20C-GLOBAUX-04-S,STATION HONORÉ-BEAUGRAND,verte,Yes
20C-GLOBAUX-04-S_1_3,1,20C-GLOBAUX-04-S,STATION ANGRIGNON,verte,Yes
20C-GLOBAUX-04-S_2_0,2,20C-GLOBAUX-04-S,STATION MONTMORENCY,orange,Yes
20C-GLOBAUX-04-S_2_1,2,20C-GLOBAUX-04-S,STATION CÔTE-VERTU,orange,Yes
20C-GLOBAUX-04-S_4_0,4,20C-GLOBAUX-04-S,STATION BERRI-UQAM,jaune,Yes
20C-GLOBAUX-04-S_4_1,4,20C-GLOBAUX-04-S,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,jaune,Yes
20C-GLOBAUX-04-S_5_2,NA,20C-GLOBAUX-04-S,STATION SAINT-MICHEL,NA,Yes
20C-GLOBAUX-04-S_5_3,NA,20C-GLOBAUX-04-S,STATION SNOWDON,NA,Yes
20C-GLOBAUX-04-A_1_2,1,20C-GLOBAUX-04-A,STATION HONORÉ-BEAUGRAND,verte,No
20C-GLOBAUX-04-A_1_3,1,20C-GLOBAUX-04-A,STATION ANGRIGNON,verte,No
20C-GLOBAUX-04-A_2_0,2,20C-GLOBAUX-04-A,STATION MONTMORENCY,orange,No
20C-GLOBAUX-04-A_2_1,2,20C-GLOBAUX-04-A,STATION CÔTE-VERTU,orange,No
20C-GLOBAUX-04-A_4_0,4,20C-GLOBAUX-04-A,STATION BERRI-UQAM,jaune,No
20C-GLOBAUX-04-A_4_1,4,20C-GLOBAUX-04-A,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,jaune,No
20C-GLOBAUX-04-A_5_2,NA,20C-GLOBAUX-04-A,STATION SAINT-MICHEL,NA,No
20C-GLOBAUX-04-A_5_3,NA,20C-GLOBAUX-04-A,STATION SNOWDON,NA,No
20C-GLOBAUX-04-I_1_2,1,20C-GLOBAUX-04-I,STATION HONORÉ-BEAUGRAND,verte,No
20C-GLOBAUX-04-I_1_3,1,20C-GLOBAUX-04-I,STATION ANGRIGNON,verte,No
20C-GLOBAUX-04-I_2_0,2,20C-GLOBAUX-04-I,STATION MONTMORENCY,orange,No
20C-GLOBAUX-04-I_2_1,2,20C-GLOBAUX-04-I,STATION CÔTE-VERTU,orange,No
20C-GLOBAUX-04-I_4_0,4,20C-GLOBAUX-04-I,STATION BERRI-UQAM,jaune,No
20C-GLOBAUX-04-I_4_1,4,20C-GLOBAUX-04-I,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,jaune,No
20C-GLOBAUX-04-I_5_2,NA,20C-GLOBAUX-04-I,STATION SAINT-MICHEL,NA,No
20C-GLOBAUX-04-I_5_3,NA,20C-GLOBAUX-04-I,STATION SNOWDON,NA,No
218313818,NA,20C-H50C000A-90-A,93-E,NA,No
218313819,NA,20C-H50C000A-90-A,16-E,NA,No
218313820,NA,20C-H50C000A-90-A,93-O,NA,No
218313822,NA,20C-H50C000A-90-A,16-O,NA,No
218313823,NA,20C-H50C000A-90-A,16-E,NA,No
218313824,NA,20C-H50C000A-90-A,16-O,NA,No
218313825,NA,20C-H50C000A-90-A,16-E,NA,No
218313826,NA,20C-H50C000A-90-A,16-O,NA,No
218313827,NA,20C-H50C000A-90-A,16-E,NA,No
218313828,NA,20C-H50C000A-90-A,16-O,NA,No
218313829,NA,20C-H50C000A-90-A,16-O,NA,No
218313830,NA,20C-H50C000A-90-A,16-E,NA,No
218313831,NA,20C-H50C000A-90-A,16-O,NA,No
218313832,NA,20C-H50C000A-90-A,16-E,NA,No
218313833,NA,20C-H50C000A-90-A,16-O,NA,No
218313834,NA,20C-H50C000A-90-A,16-E,NA,No
218313835,NA,20C-H50C000A-90-A,16-O,NA,No
218313836,NA,20C-H50C000A-90-A,16-E,NA,No
218313837,NA,20C-H50C000A-90-A,16-O,NA,No
218313838,NA,20C-H50C000A-90-A,16-E,NA,No
218313839,NA,20C-H50C000A-90-A,16-O,NA,No
218313840,NA,20C-H50C000A-90-A,16-E,NA,No
218313841,NA,20C-H50C000A-90-A,16-O,NA,No
218313842,NA,20C-H50C000A-90-A,16-E,NA,No
218313843,NA,20C-H50C000A-90-A,16-O,NA,No
218313844,NA,20C-H50C000A-90-A,16-E,NA,No
218313845,NA,20C-H50C000A-90-A,16-O,NA,No
218313846,NA,20C-H50C000A-90-A,16-E,NA,No
218313847,NA,20C-H50C000A-90-A,16-O,NA,No
218313848,NA,20C-H50C000A-90-A,16-E,NA,No
218313849,NA,20C-H50C000A-90-A,16-O,NA,No
218313850,NA,20C-H50C000A-90-A,16-E,NA,No
218313851,NA,20C-H50C000A-90-A,16-O,NA,No
218313854,NA,20C-H50C000A-90-A,16-E,NA,No
218313855,NA,20C-H50C000A-90-A,16-O,NA,No
218313856,NA,20C-H50C000A-90-A,16-E,NA,No
218313857,NA,20C-H50C000A-90-A,16-O,NA,No
218313858,NA,20C-H50C000A-90-A,16-E,NA,No
218313859,NA,20C-H50C000A-90-A,16-O,NA,No
218313860,NA,20C-H50C000A-90-A,16-E,NA,No
218313861,NA,20C-H50C000A-90-A,16-O,NA,No
218313862,NA,20C-H50C000A-90-A,16-E,NA,No
218313863,NA,20C-H50C000A-90-A,16-O,NA,No
218313864,NA,20C-H50C000A-90-A,16-E,NA,No
218313865,NA,20C-H50C000A-90-A,16-O,NA,No
218313866,NA,20C-H50C000A-90-A,16-E,NA,No
218313867,NA,20C-H50C000A-90-A,16-O,NA,No
218313868,NA,20C-H50C000A-90-A,16-E,NA,No
218313869,NA,20C-H50C000A-90-A,16-O,NA,No
218313870,NA,20C-H50C000A-90-A,16-E,NA,No
218313871,NA,20C-H50C000A-90-A,16-O,NA,No
218313872,NA,20C-H50C000A-90-A,16-O,NA,No
218313873,NA,20C-H50C000A-90-A,16-E,NA,No
218313874,NA,20C-H50C000A-90-A,16-O,NA,No
218313875,NA,20C-H50C000A-90-A,16-E,NA,No
218313876,NA,20C-H50C000A-90-A,16-E,NA,No
218313877,NA,20C-H50C000A-90-A,16-O,NA,No
218313878,NA,20C-H50C000A-90-A,16-E,NA,No
218313879,NA,20C-H50C000A-90-A,16-O,NA,No
218313880,NA,20C-H50C000A-90-A,16-E,NA,No
218313881,NA,20C-H50C000A-90-A,16-O,NA,No
218313882,NA,20C-H50C000A-90-A,16-E,NA,No
218313884,NA,20C-H50C000A-90-A,93-E,NA,No
218313885,NA,20C-H50C000A-90-A,93-E,NA,No
218313886,NA,20C-H50C000A-90-A,93-O,NA,No
218313887,NA,20C-H50C000A-90-A,93-O,NA,No
218313888,NA,20C-H50C000A-90-A,93-E,NA,No
218313889,NA,20C-H50C000A-90-A,93-O,NA,No
218313890,NA,20C-H50C000A-90-A,16-E,NA,No
218313891,NA,20C-H50C000A-90-A,16-O,NA,No
218313893,NA,20C-H50C000A-90-A,93-O,NA,No
218313894,NA,20C-H50C000A-90-A,93-E,NA,No
218313895,NA,20C-H50C000A-90-A,93-O,NA,No
218313896,NA,20C-H50C000A-90-A,93-E,NA,No
218313897,NA,20C-H50C000A-90-A,93-O,NA,No
218313898,NA,20C-H50C000A-90-A,93-E,NA,No
218313899,NA,20C-H50C000A-90-A,93-E,NA,No
218313900,NA,20C-H50C000A-90-A,93-O,NA,No
218313901,NA,20C-H50C000A-90-A,93-E,NA,No
218313902,NA,20C-H50C000A-90-A,93-O,NA,No
218313903,NA,20C-H50C000A-90-A,93-O,NA,No
218313904,NA,20C-H50C000A-90-A,93-E,NA,No
218313905,NA,20C-H50C000A-90-A,93-O,NA,No
